date,open,high,low,close,volume,vwap,symbol,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-07-11,50.83,51.1,50.43,50.44,80767368.0,50.7,AAPL,50.172142857142866,50.046173776919595,50.392761904761905,50.98781167487069,50.780954890900254,-33.87755102040834,74.75771736113893,108.62855080006156,5.0,50.39,51.06,51.06,50.01,50.31,50.83
2019-07-12,50.61,51.0,50.55,50.83,70380848.0,50.7475,AAPL,50.25285714285714,50.15068393999698,50.480476190476196,51.05734559288833,50.847756967728834,-17.959183673469564,76.47903783312229,106.1638175536754,5.0,50.68,51.06,50.01,50.31,50.81,51.3
2019-07-13,50.61,51.0,50.55,50.83,70380848.0,50.7475,AAPL,50.25285714285714,50.15068393999698,50.480476190476196,51.05734559288833,50.847756967728834,-17.959183673469564,76.47903783312229,106.1638175536754,5.0,51.1,50.01,50.31,50.81,50.44,51.13
2019-07-14,50.61,51.0,50.55,50.83,70380848.0,50.7475,AAPL,50.25285714285714,50.15068393999698,50.480476190476196,51.05734559288833,50.847756967728834,-17.959183673469564,76.47903783312229,106.1638175536754,5.0,51.1,50.31,50.81,50.44,50.83,50.84
2019-07-15,51.02,51.47,51.0,51.3,67789680.0,51.1975,AAPL,50.37071428571428,50.303926081330715,50.62009523809523,51.22250936965912,51.051197978566364,-6.415094339622709,78.39143046173197,103.92902266859016,5.0,51.06,50.81,50.44,50.83,50.83,51.42
2019-07-16,51.15,51.53,50.88,51.13,67467264.0,51.1725,AAPL,50.53071428571429,50.41406927048662,50.72133333333332,51.30563221763969,51.13374471634067,-17.621145374449252,75.98493406666951,101.75452549909058,5.0,51.06,50.44,50.83,50.83,50.83,50.65
2019-07-17,51.01,51.27,50.82,50.84,56429800.0,50.985,AAPL,50.59428571428571,50.47086003442174,50.762571428571434,51.292766584031504,51.08342853836815,-30.39647577092497,71.9284383891112,99.68251545610677,5.0,51.06,50.83,50.83,50.83,51.3,50.65
2019-07-18,51.0,51.47,50.93,51.42,74328644.0,51.205,AAPL,50.699999999999996,50.59741202983218,50.87266666666667,51.41940943551636,51.23806187120594,-4.845814977973537,74.82335502162019,97.78785157054642,5.0,50.01,50.83,50.83,51.3,51.13,50.65
2019-07-19,51.45,51.63,50.59,50.65,83717228.0,51.08,AAPL,50.78357142857142,50.60442375918789,50.866,51.322898342889125,51.07601067476822,-48.27586206896569,65.20891725480331,95.69634542799808,5.0,50.31,50.83,51.3,51.13,50.84,51.81
2019-07-20,51.45,51.63,50.59,50.65,83717228.0,51.08,AAPL,50.78357142857142,50.60442375918789,50.866,51.322898342889125,51.07601067476822,-48.27586206896569,65.20891725480331,95.69634542799808,5.0,50.81,51.3,51.13,50.84,51.42,52.21
