date,open,high,low,close,volume,vwap,symbol,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-07-11,138.2,139.22,137.87,138.4,22327942.0,138.4225,MSFT,136.1907142857143,136.07169528619517,136.63733333333334,138.1536179422229,138.04814492153838,-12.634822804314208,93.69395481417392,103.80469692558624,4.0,135.68,137.06,137.06,136.96,136.46,138.9
2019-07-12,138.85,139.13,138.01,138.9,18936832.0,138.7225,MSFT,136.32857142857145,136.44880258136914,136.99857142857144,138.57996187241062,138.53122367149598,-4.93066255778109,93.99672408673035,101.98329159356872,4.0,136.58,137.06,136.96,136.46,137.85,138.9
2019-07-13,138.85,139.13,138.01,138.9,18936832.0,138.7225,MSFT,136.32857142857145,136.44880258136914,136.99857142857144,138.57996187241062,138.53122367149598,-4.93066255778109,93.99672408673035,101.98329159356872,4.0,137.46,136.96,136.46,137.85,138.4,137.08
2019-07-14,138.85,139.13,138.01,138.9,18936832.0,138.7225,MSFT,136.32857142857145,136.44880258136914,136.99857142857144,138.57996187241062,138.53122367149598,-4.93066255778109,93.99672408673035,101.98329159356872,4.0,137.46,136.46,137.85,138.4,138.9,136.27
2019-07-15,139.44,139.54,138.46,138.9,16651457.0,139.085,MSFT,136.40857142857146,136.77562890385326,137.34142857142857,138.90588310224211,138.86285891448384,-9.397944199706112,93.99672408673035,100.30714133059202,4.0,137.06,137.85,138.4,138.9,138.9,136.42
2019-07-16,138.96,139.05,136.52,137.08,22726128.0,137.9025,MSFT,136.66928571428573,136.81621171667283,137.4309523809524,138.69760379305345,138.44463565792245,-38.55799373040723,78.15561288818482,98.14544475296576,4.0,137.06,138.4,138.9,138.9,138.9,136.62
2019-07-17,137.7,137.93,136.22,136.27,20210956.0,137.03,MSFT,136.83642857142857,136.74338348778312,137.3777142857143,138.31080548894192,137.81945903996947,-51.253918495297555,72.31448722276532,96.04289422947481,4.0,137.06,138.9,138.9,138.9,138.9,136.62
2019-07-18,135.55,136.62,134.67,136.42,30808707.0,135.815,MSFT,136.99857142857144,136.70026568941205,137.32219047619049,138.02132933182807,137.38198516514157,-48.90282131661453,72.72107521500772,93.58663149701364,4.0,136.96,138.9,138.9,138.9,137.08,136.62
2019-07-19,140.22,140.67,136.45,136.62,48992364.0,138.49,MSFT,137.1885714285714,136.68956359749043,137.2717142857143,137.82521027458557,137.1104172935125,-67.49999999999972,73.28443997763375,91.59415502911989,4.0,136.46,138.9,138.9,137.08,136.27,138.43
2019-07-20,140.22,140.67,136.45,136.62,48992364.0,138.49,MSFT,137.1885714285714,136.68956359749043,137.2717142857143,137.82521027458557,137.1104172935125,-67.49999999999972,73.28443997763375,91.59415502911989,4.0,137.85,138.9,137.08,136.27,136.42,139.29
2019-07-21,140.22,140.67,136.45,136.62,48992364.0,138.49,MSFT,137.1885714285714,136.68956359749043,137.2717142857143,137.82521027458557,137.1104172935125,-67.49999999999972,73.28443997763375,91.59415502911989,4.0,138.4,137.08,136.27,136.42,136.62,140.72
2019-07-22,137.41,139.19,137.33,138.43,25080760.0,138.09,MSFT,137.385,136.92162178449172,137.43723809523811,138.10696600004195,137.53054994977302,-37.333333333333016,77.76071287343288,89.74399830893285,4.0,138.9,136.27,136.42,136.62,136.62,140.19
2019-07-23,139.76,139.99,138.03,139.29,18034589.0,139.2675,MSFT,137.57857142857145,137.2374055465595,137.6912380952381,138.53838312716178,138.13903813330717,-22.999999999999922,79.51683195057397,88.08370516382551,4.0,138.9,136.42,136.62,136.62,136.62,141.34
2019-07-24,138.9,140.74,138.85,140.72,20738275.0,139.8025,MSFT,137.8114285714286,137.7017514736849,138.11009523809525,139.23169851371557,139.08403971721282,-0.32948929159819046,82.05437775357078,86.59757546928815,4.0,138.9,136.62,136.62,136.62,138.43,141.34
2019-07-25,140.43,140.61,139.32,140.19,18356883.0,140.1375,MSFT,138.035,138.03351794386026,138.4272380952381,139.64700298603879,139.5914316309312,-9.06095551894579,78.18819427286903,85.21759789578917,4.0,138.9,136.62,136.62,138.43,139.29,141.34
2019-07-26,140.37,141.68,140.3,141.34,19037600.0,140.9225,MSFT,138.34785714285715,138.47438221801224,138.86790476190475,140.25481829216534,140.35134734545008,-4.850213980028566,80.35149488338963,84.02267905705314,4.0,137.08,136.62,138.43,139.29,140.72,141.03
2019-07-27,140.37,141.68,140.3,141.34,19037600.0,140.9225,MSFT,138.34785714285715,138.47438221801224,138.86790476190475,140.25481829216534,140.35134734545008,-4.850213980028566,80.35149488338963,84.02267905705314,4.0,136.27,138.43,139.29,140.72,140.19,140.35
2019-07-28,140.37,141.68,140.3,141.34,19037600.0,140.9225,MSFT,138.34785714285715,138.47438221801224,138.86790476190475,140.25481829216534,140.35134734545008,-4.850213980028566,80.35149488338963,84.02267905705314,4.0,136.42,139.29,140.72,140.19,141.34,136.27
