date,open,high,low,close,volume,change,changePercent,vwap,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_7_price,minus_5_price,minus_3_price,target
2019-07-08,23.57,24.21,23.46,23.97,10450000.0,0.4,1.7,23.88,23.675714285714285,23.516192911490947,23.47590476190476,23.76896820344962,23.44556108344307,-53.50877192982458,71.89851064736165,92.44869089282612,4.0,23.38,23.38,23.78,24.82
2019-07-09,23.88,24.17,23.54,24.12,11965000.0,0.24,1.01,23.94,23.647142857142857,23.596700523292157,23.53514285714286,23.885545706550722,23.63652010833829,-49.12280701754383,72.77681938329378,90.21166395755401,4.0,23.42,23.38,23.78,24.35
2019-07-10,24.34,24.76,23.91,23.94,10754000.0,-0.4,-1.64,24.2,23.562142857142863,23.642473786853202,23.57419047619047,23.93247644076353,23.717657396877602,-54.38596491228066,69.95141697921251,88.29119749659458,4.0,23.38,23.78,23.78,24.42
2019-07-11,24.15,24.3,23.84,24.08,5303000.0,-0.07,-0.28986,24.07,23.488571428571426,23.70081061527278,23.643238095238093,24.00270483329203,23.826834350818622,-35.606060606060645,70.89777115835487,86.42434278112607,4.0,23.38,23.78,23.97,24.16
2019-07-12,24.14,24.54,23.73,24.41,8476000.0,0.27,1.12,24.22,23.50857142857143,23.795369199903075,23.766095238095236,24.138961628866014,24.022678993540268,-14.705882352941222,73.05216075266537,84.76048708601077,4.0,23.78,23.78,24.12,23.53
2019-07-13,24.14,24.54,23.73,24.41,8476000.0,0.27,1.12,24.22,23.50857142857143,23.795369199903075,23.766095238095236,24.138961628866014,24.022678993540268,-14.705882352941222,73.05216075266537,84.76048708601077,4.0,23.78,23.97,23.94,23.53
2019-07-14,24.14,24.54,23.73,24.41,8476000.0,0.27,1.12,24.22,23.50857142857143,23.795369199903075,23.766095238095236,24.138961628866014,24.022678993540268,-14.705882352941222,73.05216075266537,84.76048708601077,4.0,23.78,24.12,24.08,23.53
2019-07-15,24.46,24.97,24.22,24.82,8393000.0,0.36,1.47,24.67,23.607857142857142,23.931986639916,23.940952380952382,24.34816852636175,24.310301105564527,-5.791505791505737,75.48077903012691,83.34020742243979,4.0,23.97,23.94,24.41,24.9
2019-07-16,24.8,24.93,24.15,24.35,6871000.0,-0.45,-1.81,24.48,23.726428571428563,23.987721754593867,24.03990476190476,24.396716488901,24.357669192356617,-23.93822393822384,67.92367859601606,81.9243964880292,4.0,24.12,24.08,24.41,24.54
2019-07-17,24.41,24.78,24.22,24.42,7252000.0,0.01,0.04096682,24.47,23.857142857142858,24.04535885398135,24.132380952380952,24.449773109850018,24.411962371531537,-22.916666666666565,68.43063375754,80.60971490607652,4.0,23.94,24.41,24.41,24.84
